Продукт,Морозильник (без вакуума),Холодильник (без вакуума),Комнатная температура (без вакуума),Морозильник (с вакуумом),Холодильник (с вакуумом),Комнатная температура (с вакуумом),-20 до -16 (без вакуума),-16 до 12 (без вакуума),-12 до -8 (без вакуума),-8 до -4 (без вакуума),-4 до 0 (без вакуума),0 до 4 (без вакуума),4 до 8 (без вакуума),8 до 12 (без вакуума),12 до 16 (без вакуума),16 до 20 (без вакуума),-20 до -16 (с вакуумом),-16 до 12 (с вакуумом),-12 до -8 (с вакуумом),-8 до -4 (с вакуумом),-4 до 0 (с вакуумом),0 до 4 (с вакуумом),4 до 8 (с вакуумом),8 до 12 (с вакуумом),12 до 16 (с вакуумом),16 до 20 (с вакуумом)
Помидоры,300-360 суток,7-14 суток,3-5 суток,240-360 суток,14-30 суток,7-10 суток,240-360 суток,200-300 суток,180-250 суток,100-150 суток,14-28 суток,7-14 суток,5-7 суток,3-5 суток,1-2 суток,1-2 суток,180-240 суток,120-180 суток,90-120 суток,60-90 суток,"45-60 
суток",30-45 суток,14-30 суток,10-14 суток,7-10 суток,5-7 суток
Спаржа,180 суток,3-5 суток,1-2 суток,240-360 суток,7-14 суток,2-3 суток,180 суток,120 суток,60 суток,30 суток,7-14 суток,7 суток,4-5 суток,3 суток,1-2 суток,1 сутки,240-300 суток,180-240 суток,90-120 суток,45-90 суток,21-45 сутки,14-21 сутки,10-14 суток,7-10 суток,5-7 суток,2-3 суток
Свекла,300-360 суток,45-90 суток,7-14 суток,180-240 суток,14-21 сутки,10-14 суток,180-240 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,14-28 суток,10-14 суток,7-10 суток,7-10 суток,5-7 суток,300-360 суток,240-300 суток,180-240 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-30 суток,10-14 суток
Брокколи,90-180 суток,3-5 суток,1 сутки,240-360 суток,7-14 суток,3-5 суток,90-180 суток,60-120 суток,30-60 суток,14-21 сутки,7 суток,3-5 суток,2-3 суток,2-3 суток,1-2 суток,1 сутки,180-240 суток,"120-180
суток",90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-30 суток,10-14 суток,7-10 суток,3-5 суток
Морковь,300-360 суток,14-21 сутки,5-7 суток,300-360 суток,28 суток,7-14 суток,240-360 суток,180-240 суток,120-180 суток,60-90 суток,30-60 суток,14-28 суток,7-14 суток,7 суток,5-7 суток,3-5 суток,300-360 суток,240-300 суток,180-240 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-28 суток,7-14 суток
Сельдерей,240-300 суток,7-14 суток,2-3 суток,150-270 суток,7-14 суток,2-3 суток,240-360 суток,180-240 суток,120-180 суток,90-120 суток,60-90 суток,7-14 суток,7-14 суток,7 суток,3-5 суток,2-3 суток,150-270 суток,90-150 суток,60-90 суток,30-60 суток,21-30 суток,14-21 суток,10-14 суток,7-10 суток,5-7 суток,2-3 суток
Кукуруза,180-240 суток,30-60 суток,2-3 суток,150-270 суток,7-14 суток,2-3 суток,180-240 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,7-14 суток,7-14 суток,7 суток,3-5 суток,2-3 суток,150-270 суток,90-150 суток,60-90 суток,30-60 суток,21-30 суток,14-21 суток,10-14 суток,7-10 суток,5-7 суток,2-3 суток
Огурец,60-90 суток,7-14 суток,1-2 суток,180-240 суток,30-60 суток,5-7 суток,60-90 суток,30-60 суток,30 суток,14-21 сутки,7-14 суток,7 суток,7 суток,3-5 суток,2-3 суток,1 сутки,180-240 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-28 суток,10-14 суток,7-10 суток,5-7 суток
Баклажан,30-60 суток,3-5 суток,1 сутки,180-240 суток,30-60 суток,5-7 суток,30-60 суток,14-21 сутки,7-14 суток,7 суток,7 суток,3-5 суток,3-5 суток,2-3 суток,1-2 суток,1 сутки,180-240 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-28 суток,10-14 суток,7-10 суток,5-7 суток
Чеснок,90-120 суток,28-42 суток,3-5 суток,90-120 суток,60-90 суток,14-28 суток,180 суток,120 суток,90 суток,60-90 суток,60 суток,42 суток,28-42 суток,7-14 суток,7 суток,3-5 суток,240-300 суток,180-240 суток,150-210 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,14-28 суток,7-14 суток,5-7 суток
Имбирь,180-240 суток,30-60 суток,7-14 суток,180-270 суток,60-90 суток,14-21 сутки,90-120 суток,60-90 суток,60-90 суток,21-30 суток,45-60 суток,45-60 суток,28-45 суток,14-28 суток,7-14 суток,7 суток,180-270 суток,120-180 суток,90-120 суток,90-120 суток,60-90 суток,60-90 суток,30-60 суток,30-60 суток,14-21 сутки,14-21 сутки
Дыня,60-90 суток,5-7 суток,1-2 суток,21-30 суток,7-14 суток,21-30 суток,90-120 суток,60-90 суток,30-60 суток,14-21 сутки,7-14 суток,7 суток,5-7 суток,3-5 суток,2-3 суток,1-2 суток,14-21 суток,"14-21
суток",7-14 суток,7 суток,7 суток,7-14 суток,"14-21
суток",14-21 суток,21-28 суток,21-28 суток
Гриб,180-360 суток,4-7 суток,1-2 суток,180-360 суток,30-60 суток,2-3 суток,180-360 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,7-14 суток,7 суток,3-5 суток,2-3 суток,1-2 суток,300-360 суток,120-240 суток,90-180 суток,60-120 суток,30-60 суток,14–28 суток,7-14 суток,5-7 суток,"4-5
суток",2-3 суток
Петрушка,180-360 суток,7-14 суток,2 часа,240-360 суток,7-14 суток,2-3 суток,180-360 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,14-28 суток,7-14 суток,3-5 суток,2-3 суток,1 суток,300-360 суток,120-240 суток,90-180 суток,60-120 суток,30-60 суток,14-28 суток,7-14 суток,5-7 суток,4-5 суток,2-3 суток
Зелёный лук,180 суток,10-14 суток,3-5 суток,240-360 суток,7-14 суток,2-3 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-60 суток,10-14 суток,"7-10
суток",7 суток,5-7 суток,3-5 суток,180-360 суток,120-240 суток,90-180 суток,60-120 суток,30-60 суток,14-28 суток,7-14 суток,5-7 суток,4-5 суток,2-3 суток
Шпинат,240-360 суток,7-14 суток,3-5 суток,300-360 суток,7-14 суток,3-5 суток,300-360 суток,240-300 суток,180-240 суток,120-180 суток,14-30 суток,7-14 суток,7 суток,5-7 суток,3-5 суток,1-2 суток,240-360 суток,180-240 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,14-30 суток,7-14 суток,5-7 суток,2-3 суток
Арбуз,120-180 суток,5-7 суток,2-3 суток,60-90 суток,3-5 суток,1-2 суток,60-90 суток,30-60 суток,14-21 сутки,7-14 суток,7-10 суток,7 суток,5-7 суток,3-5 суток,2-3 суток,1-2 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-28 суток,7-14 суток,5-7 суток,3-5 суток,1-2 суток
Горох,60-90 суток,3-5 суток,1-2 суток,300-360 суток,7-14 суток,3-5 суток,90-120 суток,60-90 суток,30-60 суток,14-21 сутки,7-14 суток,7 суток,5-7 суток,3-5 суток,2-3 суток,1-2 суток,240-360 суток,180-240 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,14-30 суток,7-14 суток,5-7 суток,2-3 суток
Фасоль,60-90 суток,3-5 суток,1-2 суток,300-360 суток,7-14 суток,3-5 суток,90-120 суток,60-90 суток,30-60 суток,14-21 сутки,7-14 суток,7 суток,5-7 суток,3-5 суток,2-3 суток,1-2 суток,240-360 суток,180-240 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,14-30 суток,7-14 суток,5-7 суток,2-3 суток
Ватрушки и сочники,30-60 суток,2-3 суток,1-2 суток,60-90 суток,3-4 суток,1-2 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток,7-14 суток,7 суток,3-5 суток,2-3 суток,1-2 суток,60-90 суток,30-60 суток,14-30 суток,"7-14
суток",3-5 суток,2-3 суток,1-2 суток,1 суток,5 часов,3 часа
Торты с заварным кремом,7 суток,2-4 суток,2 часа,60-90 суток,3-4 суток,1-2 суток,30-60 суток,14-30 суток,7-10 суток,5-7 суток,"3-5
суток",3-5 суток,1-2 суток,1-2 суток,1 суток,2 часа,60-90 суток,30-60 суток,14-30 суток,"7-14
суток",3-5 суток,2-3 суток,1-2 суток,1 суток,5 часов,3 часа
Безе,60-90 суток,7-14 суток,2 часа,90-180 суток,14-28 суток,7-14 суток,90-180 суток,60-120 суток,30-90 суток,14-28 суток,7-14 суток,5-7 суток,3-5 суток,1-3 суток,1-2 суток,2 часа,180-360 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-30 суток,10-14 суток,"7-10 
суток",3-5 суток
